panel,weighting,estimator,instruments_kept,max_lag,income,income_se,obs,countries,n_inst,ar1_p,ar2_p,overid_test,overid_df,overid_p
Polity,One-step,System GMM,uncollapsed,2,0.07948834161913526,0.02376937610228829,1331,120,36,4.3390921166359604e-5,0.24822681206473016,Sargan,26,1.5376775322245956e-60
Polity,One-step,System GMM,collapsed,2,0.08897245865022971,0.0278249289253604,1331,120,12,7.641816964142671e-6,0.24068307079385248,Sargan,2,9.456659157907777e-12
Polity,One-step,Difference GMM,uncollapsed,3,-0.6468068934465494,0.20559378014085644,600,111,33,1.1852938636106e-20,0.2345528665768602,Sargan,24,1.3891103199373142e-36
Polity,One-step,Difference GMM,collapsed,3,-0.47421570771519406,0.21241397847996005,600,111,11,4.5473168220262674e-11,0.252856891573574,Sargan,2,0.005905789706998291
Polity,One-step,System GMM,uncollapsed,3,0.07043192146363994,0.021418424212799304,1331,120,48,5.986592528008784e-4,0.2688725480073651,Sargan,38,5.837057012129094e-68
Polity,One-step,System GMM,collapsed,3,0.07230720166547908,0.022551472034498428,1331,120,14,3.0861043844040504e-4,0.25736038000028616,Sargan,4,2.6154748014635785e-16
Polity,One-step,Difference GMM,uncollapsed,4,-0.5283397376534502,0.16599238683017317,600,111,43,1.7429459810848459e-12,0.26412364210598616,Sargan,34,7.59689993100357e-41
Polity,One-step,Difference GMM,collapsed,4,-0.4723488515886425,0.21290251979853658,600,111,13,3.6972706033229546e-11,0.2578795107808128,Sargan,4,6.299087259445163e-4
Polity,One-step,System GMM,uncollapsed,4,0.07232920771891789,0.01993855063699799,1331,120,58,6.466357400941165e-4,0.27407090107529125,Sargan,48,3.480511709140533e-70
Polity,One-step,System GMM,collapsed,4,0.073165245770136,0.02195773289704777,1331,120,16,2.588356267685329e-4,0.2571572989158633,Sargan,6,9.363813007215573e-16
Polity,One-step,Difference GMM,uncollapsed,5,-0.46202583445892387,0.14528712145306327,600,111,51,2.238402165166382e-9,0.2720562029557266,Sargan,42,2.05963233058087e-51
Polity,One-step,Difference GMM,collapsed,5,-0.4718054056335763,0.21255317290311512,600,111,15,6.207902308528993e-11,0.25897624396861474,Sargan,6,0.0010981956310731926
Polity,One-step,System GMM,uncollapsed,5,0.0711323265805629,0.019699950734818467,1331,120,66,7.858060059942222e-4,0.27519736529704364,Sargan,56,3.7039278265547664e-87
Polity,One-step,System GMM,collapsed,5,0.0734378391848938,0.021688241022162307,1331,120,18,2.4340335684379502e-4,0.2567488030024741,Sargan,8,7.916408569863864e-15
Polity,One-step,Difference GMM,uncollapsed,6,-0.3526907247108202,0.11844960100989757,600,111,57,7.104835855299045e-9,0.27606798747142264,Sargan,48,9.689393065612366e-59
Polity,One-step,Difference GMM,collapsed,6,-0.4532418546838448,0.21468754329986425,600,111,17,3.251494080501544e-11,0.26150630027193617,Sargan,8,1.1710414609157486e-6
Polity,One-step,System GMM,uncollapsed,6,0.07198818695639944,0.019467105377044484,1331,120,72,5.452698775192978e-4,0.2707640868355967,Sargan,62,1.5450510959323146e-89
