panel,size,draw,income,income_se,n_inst,hansen_p,hansen_df
Freedom House,12,20,-0.09848287869128924,0.11637600311529676,22,0.0515584930694419,11
Freedom House,12,21,-0.19430606141899798,0.11579270111509606,22,0.001992823261534183,11
Freedom House,12,22,-0.17544043156631073,0.12038427865874231,22,0.02058302176048471,11
Freedom House,12,23,-0.23095068732755974,0.11281463796567964,22,0.004869395227386979,11
Freedom House,12,24,-0.0269780517782765,0.15448469734811082,22,0.1549502629709904,11
Freedom House,12,25,-0.1861817251057727,0.12590438393180384,22,0.0024200965185809625,11
Freedom House,12,26,-0.11574821575699712,0.13440492424448744,22,0.020591310150196992,11
Freedom House,12,27,-0.19345275270667184,0.1256995720868089,22,0.011234757457557904,11
Freedom House,12,28,-0.05427761219604488,0.1269552154349548,22,0.04405398516983757,11
Freedom House,12,29,-0.16771847119043715,0.1107719647591336,22,0.019332027569652317,11
Freedom House,12,30,-0.2442535965605006,0.12229552903709778,22,0.003982449900460335,11
Freedom House,12,31,-0.19060504377357823,0.1094944823381784,22,0.0027933827899305143,11
Freedom House,12,32,0.01730063886109523,0.1438713199672352,22,0.04002727757326066,11
Freedom House,12,33,-0.18756602263851763,0.12438690997743805,22,0.015285354848477869,11
Freedom House,12,34,-0.053431340000837935,0.12767813459206712,22,0.054002983344444186,11
Freedom House,12,35,-0.06646932117107429,0.12224118979165412,22,0.07247100226434686,11
Freedom House,12,36,0.01355014197066673,0.12384488964928154,22,0.05869859253370944,11
Freedom House,12,37,-0.25711318125941185,0.11749225622467158,22,0.009120762054114238,11
Freedom House,12,38,-0.25925604249386414,0.1164984284398508,22,0.008159246232923668,11
Freedom House,12,39,-0.18885368378633993,0.10426870570368062,22,0.04516716791341857,11
Freedom House,12,40,-0.19423248037838903,0.11749924594512656,22,0.003072924729105123,11
Freedom House,12,41,-0.22251725779357123,0.12052066745053182,22,0.08565892266911472,11
Freedom House,12,42,-0.1471544480161402,0.11666773922133533,22,0.020068270643932584,11
Freedom House,12,43,-0.13696123276958705,0.1307251597545612,22,0.007757626621245336,11
Freedom House,12,44,-0.22082310282731665,0.12538274907737418,22,0.03390569137417058,11
Freedom House,12,45,-0.12051187858694856,0.12679413468251693,22,0.0023972969972960666,11
Freedom House,12,46,0.018287403686700898,0.14241456671819064,22,0.33168563924230315,11
Freedom House,12,47,-0.032906462992744245,0.11787277732626494,22,0.02784590277415418,11
Freedom House,12,48,-0.13551030827042698,0.1209075311202318,22,0.06307989653949639,11
Freedom House,12,49,-0.24080119258040877,0.11358875246169231,22,0.008868745518392512,11
Freedom House,12,50,-0.2156636478596008,0.11797988505065506,22,0.04649055508375331,11
Freedom House,12,51,-0.1375351088908614,0.12131600630070821,22,0.04070941364223383,11
Freedom House,12,52,0.022434670260243372,0.13374714770912965,22,0.040204292742338714,11
Freedom House,12,53,-0.10748035685838442,0.10086388816965663,22,0.05668546604384624,11
Freedom House,12,54,-0.10061850643883918,0.11653796330390044,22,0.006874581145057264,11
Freedom House,12,55,-0.09554736263209929,0.11948740917504007,22,0.015554362467301068,11
Freedom House,12,56,-0.10598541652128102,0.11621613643249684,22,0.06465718249150072,11
Freedom House,12,57,-0.08874732673423136,0.10932258524767834,22,0.10778591519189754,11
Freedom House,12,58,-0.13666424717213665,0.11130870514958549,22,0.004248155530908887,11
